temperature,humidity,rainfall,soil_moisture
22.49080238,41.10797573,5.234113675,33.64773323
34.01428613,62.51405684,4.939575981,45.5342592
29.63987884,82.37675015,18.12509161,57.12320367
26.97316968,73.93349318,4.990923997,39.22710374
18.12037281,78.39366887,5.438994523,51.78046511
18.11989041,69.527002,15.18796525,44.54331383
16.16167224,71.53659387,8.994796849,40.56937228
32.32352292,80.95173909,15.53421114,53.99671099
27.02230023,44.98008053,1.307323151,21.9770188
29.16145156,59.36549782,9.751423873,42.42473321
15.41168989,43.27256651,0.672272004,21.24738708
34.39819704,89.26008048,1.253064069,48.43676074
31.64885282,86.64356038,18.12874907,48.83038992
19.24678221,32.36560868,2.784907422,28.07726236
18.63649934,72.33451035,10.64841365,40.74157074
18.6680902,85.51489904,8.221912052,57.67089754
21.08484486,40.83452071,6.946866525,25.4530798
25.49512863,64.07671383,17.99666691,34.7494391
23.63890037,84.92929786,0.436467936,44.06099043
20.8245828,32.03675872,13.27579372,31.09997104
27.23705789,71.84521603,19.26788868,47.16781223
17.78987721,47.84094044,11.20336367,28.75666964
20.84289297,85.46377172,18.73644924,53.53213473
22.32723687,88.26349471,1.045157586,53.54786361
24.12139968,86.65598935,8.375866381,57.82658193
30.70351923,58.452853,5.203155819,46.72060958
18.99347564,81.72255906,14.6164193,47.68376285
25.28468877,80.67296391,19.62594181,45.21683852
26.84829138,49.14602839,5.130601249,31.58629605
15.92900825,79.73492845,13.08349203,48.56426764
27.15089704,32.22045808,3.961952655,20.22909405
18.41048247,65.77619271,11.30660509,35.88680754
16.30103186,43.80053024,9.278649734,30.36524403
33.97771075,37.23401315,19.44010659,32.45507936
34.31264066,34.6171921,12.17054545,30.20048232
31.16794696,71.77732655,6.990127442,42.84459618
21.09227538,50.39249783,2.281915698,30.8283111
16.95344228,73.48600629,3.024936575,37.81285742
28.68466053,33.92138045,4.506338599,30.91834816
23.80304987,48.91742027,5.019333227,37.77973842
17.4407647,62.36947754,17.01232116,30.5884931
24.9035382,77.44338989,11.22445577,43.79009326
15.68777042,49.12515018,10.46781823,23.87982358
33.18640804,67.55348259,2.295377437,40.94161952
20.17559963,83.15866489,17.20279387,50.65538126
28.25044569,66.95179129,14.45628606,37.59406047
21.23422152,43.97756849,1.353367238,24.02042508
25.40136042,31.46404689,14.15670194,21.1639851
25.93420559,82.20593243,10.87076435,52.09371741
18.69708911,31.27616465,1.634506915,21.92083213
34.39169256,82.48210036,9.166012831,49.78307275
30.50265647,61.73622804,9.693925743,42.84180047
33.78997883,86.34406191,3.315490803,51.23872234
32.89654701,77.92699415,18.91396294,51.25697821
26.95799958,89.87604663,16.99950743,64.79258513
33.4374847,51.04270893,13.38044675,44.93099448
16.76985004,76.03129734,9.24591122,38.39787974
18.91965725,54.11585482,8.235310832,38.52954884
15.90454578,58.79253722,13.01946934,40.82850898
21.50660662,67.65032779,10.90863739,36.71755691
22.77354579,82.42062685,1.245462118,52.38535781
20.42698064,89.04500815,10.25005298,60.39026845
31.57475018,76.09640483,16.12807234,45.13351791
22.13506653,55.06600693,9.184797552,31.42296883
20.61869019,55.28142014,1.039131551,39.12245077
25.85392166,74.2549381,15.72556399,49.3862349
17.8184845,44.32662875,4.027275643,31.07169623
31.04393962,36.62844679,5.172416698,30.3648347
16.49101287,51.27732946,3.294127069,33.19827361
34.73773873,47.2343395,6.604301297,28.72699099
30.44489539,47.77848723,15.13503011,41.28630679
18.97431363,44.01646506,10.38771719,35.62602002
15.11044234,32.52559138,4.097625483,20.46849977
